notation,caption

0,Allgemeine Werke und Philosophie

01,Allgemeines
02,Wissenschaft und Kultur allgemein
05,Kommunikationswissenschaft
06,Information und Dokumentation
08,Philosophie

1-2,Geisteswissenschaften

10,Geisteswissenschaften allgemein
11,Theologie, Religionswissenschaft
15,Geschichte
17,Sprach- und Literaturwissenschaft
18,Einzelne Sprachen und Literaturen
20,Kunstwissenschaften
21,Einzelne Kunstformen
24,Theater, Film, Musik

3-4,Naturwissenschaften

30,Naturwissenschaften allgemein
31,Mathematik
33,Physik
35,Chemie
38,Geowissenschaften
39,Astronomie
42,Biologie
43,Umweltforschung, Umweltschutz
44,Medizin
46,Tiermedizin
48,Land- und Forstwirtschaft
49,Hauswirtschaft

5,Ingenieurwissenschaften

50,Technik allgemein
51,Werkstoffkunde
52,Maschinenbau, Energietechnik, Fertigungstechnik
53,Elektrotechnik
54,Informatik
55,Verkehrswesen, Verkehrstechnik
56,Bauwesen
57,Bergbau
58,Chemische Technik, Umwelttechnik, verschiedene Technologien

7-8,Sozialwissenschaften

70,Sozialwissenschaften allgemein
71,Soziologie
73,Ethnologie, Volkskunde
74,Geographie, Raumordnung, Städtebau
76,Sport, Freizeit, Erholung
77,Psychologie
79,Sozialpädagogik, Sozialarbeit
80,Pädagogik
81,Bildungswesen
83,Volkswirtschaft
85,Betriebswirtschaft
86,Recht
88,Verwaltungslehre
89,Politologie
